"date","close","volume","open","high","low"

"2019/08/23","202.6400","46882840.0000","209.4300","212.0510","201.0000"
"2019/08/22","212.4600","22267820.0000","213.1900","214.4350","210.7500"
"2019/08/21","212.6400","21564750.0000","212.9900","213.6500","211.6032"
"2019/08/20","210.3600","26919530.0000","210.8800","213.3500","210.3200"
"2019/08/19","210.3500","24431920.0000","210.6200","212.7307","210.0250"
"2019/08/16","206.5000","28813620.0000","204.2800","207.1600","203.8400"
"2019/08/15","201.7400","27883360.0000","203.4600","205.1400","199.6700"
"2019/08/14","202.7500","36547440.0000","203.1600","206.4400","202.5869"
"2019/08/13","208.9700","47539790.0000","201.0200","212.1400","200.8300"
"2019/08/12","200.4800","22481890.0000","199.6200","202.0516","199.1500"
"2019/08/09","200.9900","24619750.0000","201.3000","202.7600","199.2900"
"2019/08/08","203.4300","27009520.0000","200.2000","203.5300","199.3900"
"2019/08/07","199.0400","33364400.0000","195.4100","199.5600","193.8200"
"2019/08/06","197.0000","35824790.0000","196.3100","198.0670","194.0400"
"2019/08/05","193.3400","52392970.0000","197.9900","198.6490","192.5800"
"2019/08/02","204.0200","40862120.0000","205.5300","206.4300","201.6300"
"2019/08/01","208.4300","54017920.0000","213.9000","218.0300","206.7435"
"2019/07/31","213.0400","69281360.0000","216.4200","221.3700","211.3000"
"2019/07/30","208.7800","33935720.0000","208.7600","210.1600","207.3100"
"2019/07/29","209.6800","21673390.0000","208.4600","210.6400","208.4400"
"2019/07/26","207.7400","17618870.0000","207.4800","209.7300","207.1400"
"2019/07/25","207.0200","13909560.0000","208.8900","209.2400","206.7300"
"2019/07/24","208.6700","14991570.0000","207.6700","209.1500","207.1700"
"2019/07/23","208.8400","18355210.0000","208.4600","208.9100","207.2900"
"2019/07/22","207.2200","22277930.0000","203.6500","207.2300","203.6100"
"2019/07/19","202.5900","20929310.0000","205.7900","206.5000","202.3600"
"2019/07/18","205.6600","18582160.0000","204.0000","205.8800","203.7000"
"2019/07/17","203.3500","14107450.0000","204.0500","205.0915","203.2700"
"2019/07/16","204.5000","16866820.0000","204.5900","206.1100","203.5000"
"2019/07/15","205.2100","16947420.0000","204.0900","205.8700","204.0000"
"2019/07/12","203.3000","17595210.0000","202.4500","204.0000","202.2000"
"2019/07/11","201.7500","20191840.0000","203.3100","204.3900","201.7100"
"2019/07/10","203.2300","17897140.0000","201.8500","203.7300","201.5600"
"2019/07/09","201.2400","20578020.0000","199.2000","201.5100","198.8100"
"2019/07/08","200.0200","25338630.0000","200.8100","201.4000","198.4100"
"2019/07/05","204.2300","17265520.0000","203.3500","205.0800","202.9000"
"2019/07/03","204.4100","11362050.0000","203.2800","204.4400","202.6901"
"2019/07/02","202.7300","16935220.0000","201.4100","203.1323","201.3600"
"2019/07/01","201.5500","27316740.0000","203.1700","204.4900","200.6500"
"2019/06/28","197.9200","31110640.0000","198.6800","199.4950","197.0500"
"2019/06/27","199.7400","20899720.0000","200.2900","201.5700","199.5700"
"2019/06/26","199.8000","26067510.0000","197.7700","200.9900","197.3500"
"2019/06/25","195.5700","21070330.0000","198.4300","199.2600","195.2900"
"2019/06/24","198.5800","18220420.0000","198.5400","200.1600","198.1700"
"2019/06/21","198.7800","47800590.0000","198.8000","200.8500","198.1500"
"2019/06/20","199.4600","21513990.0000","200.3700","200.6100","198.0300"
"2019/06/19","197.8700","21124240.0000","199.6800","199.8800","197.3100"
"2019/06/18","198.4500","26551000.0000","196.0500","200.2900","195.2100"
"2019/06/17","193.8900","14669140.0000","192.9000","194.9600","192.1700"
"2019/06/14","192.7400","18761470.0000","191.5450","193.5863","190.3000"
"2019/06/13","194.1500","21674630.0000","194.7000","196.7900","193.6000"
"2019/06/12","194.1900","18253190.0000","193.9500","195.9700","193.3850"
"2019/06/11","194.8100","26932880.0000","194.8600","196.0000","193.6000"
"2019/06/10","192.5800","26220850.0000","191.8100","195.3700","191.6200"
"2019/06/07","190.1500","30684390.0000","186.5100","191.9200","185.7700"
"2019/06/06","185.2200","22526310.0000","183.0800","185.4700","182.1489"
"2019/06/05","182.5400","29773430.0000","184.2800","184.9900","181.1400"
"2019/06/04","179.6400","30967960.0000","175.4400","179.8300","174.5200"
"2019/06/03","173.3000","40396070.0000","175.6000","177.9200","170.2700"
"2019/05/31","175.0700","27043580.0000","176.2300","177.9900","174.9900"
"2019/05/30","178.3000","21218410.0000","177.9500","179.2300","176.6700"
"2019/05/29","177.3800","28481170.0000","176.4200","179.3500","176.0000"
"2019/05/28","178.2300","27948160.0000","178.9200","180.5900","177.9100"
"2019/05/24","178.9700","23714690.0000","180.2000","182.1400","178.6200"
"2019/05/23","179.6600","36529740.0000","179.8000","180.5400","177.8100"
